"country_code","gender","covid","mean_weekly_contribs","sd_weekly_contribs"
"DK","female",-1,1.50832672482157,5.82408944827928
"DK","female",1,1.72137738157665,6.55367664315594
"DK","male",-1,3.46112815920136,10.6314327213202
"DK","male",1,3.72972803136939,11.2031148217778
"EG","female",-1,1.21890224098733,5.62640875873834
"EG","female",1,1.88404825737265,6.9307831950528
"EG","male",-1,1.65985259122158,6.6153694719371
"EG","male",1,2.18019985249671,7.82150245448563
"ES","female",-1,2.22965167162612,7.81601612200246
"ES","female",1,2.33985516452801,7.86220178797757
"ES","male",-1,3.34186043957251,10.3718446963416
"ES","male",1,3.73894574623622,11.3984038836483
"FI","female",-1,1.63651840817195,6.54315948331434
"FI","female",1,2.2888198757764,7.60841135196882
"FI","male",-1,3.56673403909485,10.5648504930126
"FI","male",1,3.89801194973609,11.4095220282344
"FR","female",-1,1.33728070175439,6.69951931698814
"FR","female",1,1.06088029617441,4.90363893249853
"FR","male",-1,3.19773460152291,10.3230777835527
"FR","male",1,3.3075935436537,10.5764915894358
"GB","female",-1,3.1201675257732,9.04235348046303
"GB","female",1,2.53296870252203,7.98659920351723
"GB","male",-1,3.85624653104563,11.4541715865675
"GB","male",1,4.23589622082692,12.5280175223805
"ID","female",-1,1.12188785451396,4.783406996044
"ID","female",1,0.98013698630137,4.32150506697765
"ID","male",-1,1.87028098058641,7.43689260440789
"ID","male",1,2.30300409075346,8.62797848751415
"IE","female",-1,1.76414846012108,6.6707861881215
"IE","female",1,1.79819277108434,6.96085782226584
"IE","male",-1,3.01953264998925,10.2378017910844
"IE","male",1,3.30076494567424,10.7476450655691
"IN","female",-1,0.615047311331641,3.8435439182059
"IN","female",1,0.922316663372208,4.18527211288559
"IN","male",-1,1.06115717214942,5.16739371532268
"IN","male",1,1.386314324796,6.07341513732753
"IT","female",-1,1.39001848428835,6.62522525003562
"IT","female",1,1.50788954635108,7.44323138919836
"IT","male",-1,2.06261726541979,7.58272987556412
"IT","male",1,2.5286112084386,8.8381765366823
"KR","female",-1,5.37822014051522,12.8776330433734
"KR","female",1,5.74316109422492,13.0824124730659
"KR","male",-1,3.42159123083768,10.3725809628305
"KR","male",1,4.49013771338402,12.3444280687969
"MX","female",-1,1.60850694444444,6.30014609197836
"MX","female",1,1.51848101265823,6.85896246817268
"MX","male",-1,1.65034386269139,6.79200374064843
"MX","male",1,1.74451596433325,6.90226843172439
"NL","female",-1,2.57610729881472,8.97338183741727
"NL","female",1,2.01013767209011,7.42108462689245
"NL","male",-1,3.92886385257555,11.339927426853
"NL","male",1,4.31410489708439,12.1253135897667
"NO","female",-1,2.16370463078849,8.84868256111989
"NO","female",1,1.96590177996998,8.22855073948044
"NO","male",-1,3.37987904594403,10.4244473633783
"NO","male",1,3.5878893454827,10.9986945428105
"NZ","female",-1,1.64377218706591,6.61891983288861
"NZ","female",1,1.63663880080715,6.48886524154571
"NZ","male",-1,3.24649125611433,10.4623712919677
"NZ","male",1,3.47254002833595,11.0327297914636
"PH","female",-1,0.980327868852459,5.44200536553615
"PH","female",1,1.64409778063686,8.19009107562392
"PH","male",-1,2.04389706894179,8.6756933557961
"PH","male",1,2.21606932266831,9.20302833254596
"PK","female",-1,1.12460401267159,4.52574366231806
"PK","female",1,0.859695725670128,3.84065096185222
"PK","male",-1,1.3325368424663,6.16241603457331
"PK","male",1,1.70294686435215,6.87022035844286
"PL","female",-1,1.87840329753769,7.09027039466982
"PL","female",1,2.06930430164631,7.66880340707485
"PL","male",-1,3.36517867207756,10.1366980409714
"PL","male",1,3.55000943736166,10.5434916066452
"PT","female",-1,1.71796063846273,6.47359422969769
"PT","female",1,1.88239608801956,7.10006436100349
"PT","male",-1,2.98077086288631,9.51402592651235
"PT","male",1,3.30486060661097,10.2405914335383
"RO","female",-1,1.12586328400282,4.61015604697627
"RO","female",1,1.55878403125382,6.910075154681
"RO","male",-1,2.09763765850269,8.09644802232989
"RO","male",1,2.38824387870926,8.96327626158819
"RU","female",-1,1.21574733096085,5.25217917536265
"RU","female",1,1.40603342845495,7.43409298169898
"RU","male",-1,2.33409807134754,8.51854236632988
"RU","male",1,2.31086543612721,8.14958097574196
"TR","female",-1,0.603695444409047,3.04273618158342
